token,name,guiname,marketvalue,does-ai_research,universal
#,feature_basic_car,Basis Modell,16000,0,0
#,feature_basic_qa,QA,120,0,0
,,,,,
#,feature_antilock_brakes,Anti-Blockier Bremsen,105,1,1
#,feature_reversing_camera,Rueckfahr Kamera,105,1,0
#,feature_tire_pressure_sensors,Reifen Druck Sensoren,225,1,1
#,feature_driver_airbag,Fahrer Airbag,366,1,1
#,feature_passenger_airbag,Beifahrer Airbag,366,1,1
#,feature_spare_wheel,Ersatz Reifen,412,1,1
#,feature_lane_departure_warning_system,Lane Departure Warning,411,1,0
#,feature_power_steering,Power Steering,184,1,1
#,feature_autosteer_headlights,Autosteer Headlights,184,1,1
#,feature_cruise_control,Tempomat,184,1,0
#,feature_adaptive_cruise_control,Adapative Cruise Control,105,1,0
#,feature_traffic_aware_cruise_control,Traffic-Aware Cruise Control,374,1,0
#,feature_central_locking,Zentralverriegelung,186,1,1
#,feature_car_alarm,Alarmanlage,367,1,1
#,feature_keyless_entry,Schluesselloser Zugang,230,1,1
#,feature_aircon,Air Conditioning,1697,1,1
#,feature_climate_control,Klima Kontrolle,1205,1,0
#,feature_pollen_filter,Pollen Filter,105,1,0
#,feature_heater,Heizung,393,1,1
#,feature_heated_seats,Beheizte Sitze,403,1,0
#,feature_leather_interior,Leder Interior,984,0,0
#,feature_sun_roof,Sonnendach,920,1,1
#,feature_panoramic_sunroof,Panorama Sonnendach,1531,1,0
#,feature_electric_windows,Elektrische Fenster,184,1,1
#,feature_satnav,Sateliten Navigation,378,1,1
#,feature_auto_wipers,Automatische Scheibenwischer,304,1,1
#,feature_auto_headlights,Automatic Headlights,225,1,1
#,feature_powered_seats,Elektrisch verstellb. Sitze,188,1,1
#,feature_powered_steer_adjustment,Powered Steering Adjustment,188,1,1
#,feature_powered_tailgate,Powered Tailgate,188,1,0
#,feature_in_car_music,In-Car Musik,229,1,1
#,feature_bluetooth_phone_support,Bluetooth Handy Unterstuetzung,106,1,0
#,feature_voice_recognition,Sprach Erkennung,289,1,0
#,feature_aluminium_body,Aluminium Karosserie,110,1,0
#,feature_spoiler,Spoiler,296,1,0
#,feature_stop_start_engine,Stop-Start Automatik,285,1,1
#,feature_emergency_brake_assist,Notfall-Brems Assitent,221,1,1
#,feature_directional_headlights,Directional Headlights,218,1,0
#,feature_xenon_headlights,Xenon Scheinwerfer,189,0,0
#,feature_led_headlights,LED Scheinwerfer,198,0,0
#,feature_alloy_wheels,Alloy Wheels,424,1,1
#,feature_polish,Polished Paintwork,388,1,1
